AnimalID,Line 1,Line 2,Animal Name,Animal Name 2,Animal Mark,Animal Mark 2,Date,Date 2,Stamp And Sign,Stamp And Sign 2
HHa,Yes,No,香港半葉趾虎,, ,,2022/9/25,2022/9/26,I_Sign_1,I_Sign_2
HHb,No,Yes,香港半葉趾虎,, ,,2022/9/25,2022/9/26,I_Sign_1,I_Sign_2
HHaF,Yes,No,香港半葉趾虎,, ,,2022/9/25,2022/9/26,I_Sign_1,I_Sign_2
HHbF,No,No,虎,, ,,2022/9/25,2022/9/26,I_Sign_1,I_Sign_2
DBa,Yes,No,鮑氏雙足蜥,, ,,2022/9/13,2022/9/14,I_Sign_1,I_Sign_2
DBb,No,Yes,鮑氏雙足蜥,, ,,2022/9/15,2022/9/16,I_Sign_1,I_Sign_2
DBaF,Yes,No,鮑氏雙足蜥,, ,,2022/9/13,2022/9/34,I_Sign_1,I_Sign_2
DBbF,No,Yes,鮑氏雙足蜥,, ,,2022/9/34,2022/9/16,I_Sign_3,I_Sign_2
XHa,No,Yes,紅箭魚,, ,,2022/9/13,2022/9/9,I_Sign_1,I_Sign_2
XHb,No,Yes,紅箭魚,, ,,2022/9/11,2022/9/10,I_Sign_1,I_Sign_2
XHaF,No,Yes,紅箭魚,, ,,2022/9/13,2022/9/9,I_Sign_1,I_Sign_2
XHbF,No,Yes,紅箭魚,, ,,2022/9/11,2022/9/10,I_Sign_1,I_Sign_2
EMa,No,Yes,豹紋守宮,, ,,2022/9/12,2022/9/13,I_Sign_1,I_Sign_2
EMb,Yes,No,豹紋守宮,, ,,2022/9/14,2022/9/15,I_Sign_1,I_Sign_2
EMaF,Yes,No,豹紋守宮,, ,,2022/9/12,2022/9/13,I_Sign_1,I_Sign_2
EMbF,Yes,No,豹紋守宮,, ,,2022/9/14,2022/9/15,I_Sign_4,I_Sign_5
GCa,No,Yes,畫眉鳥,,已植入晶片,已帶晶片手環,2022/9/1,2022/9/3,I_Sign_1,I_Sign_2
GCb,No,Yes,畫眉鳥,,已植入晶片,已帶晶片手環,2022/9/2,2022/9/4,I_Sign_1,I_Sign_2
GCaF,Yes,No,畫眉鳥,,已植入晶片,已帶晶片手環,2022/9/1,2022/9/3,I_Sign_1,I_Sign_2
GCbF,No,Yes,畫眉鳥,,已植入晶片,已帶晶片手環,2022/9/2,2022/9/4,I_Sign_1,I_Sign_2
SAa,No,Yes,灰林鴞 ,,已植入晶片,已帶晶片手環,2022/9/15,2022/9/16,I_Sign_1,I_Sign_2
SAb,Yes,No,灰林鴞 ,,已植入晶片,已帶晶片手環,2022/9/17,2022/9/18,I_Sign_1,I_Sign_2
SAaF,No,Yes,灰林鴞 ,,已植入晶片,已帶晶片手環,2022/9/15,2022/9/16,I_Sign_1,I_Sign_2
SAbF,Yes,No,灰林鴞 ,, ,,2022/9/17,2022/9/22,I_Sign_3,I_Sign_2
ALa,No,Yes,歐亞雲雀,告天鳥,已植入晶片,已帶晶片手環,2022/9/17,2022/9/18,I_Sign_1,I_Sign_2
ALb,Yes,No,歐亞雲雀,告天鳥,已植入晶片,已帶晶片手環,2022/9/18,2022/9/19,I_Sign_1,I_Sign_2
ALaF,No,Yes,歐亞雲雀,告天鳥,已植入晶片,已帶晶片手環,2022/9/17,2022/9/18,I_Sign_1,I_Sign_2
ALbF,No,No,歐亞雲雀,告天鳥,已植入晶片,已帶晶片手環,2022/9/18,2022/9/19,I_Sign_1,I_Sign_2
