Speaker Name,Dialogue ID,NPC,Position,Messages,Messages 1,Messages 2,Messages 3,Messages 4,Messages 5
Player,PR0_D4,,Middle Center,這邊已經算少人了,我鄰座最近每天都要分身乏術處理五十個人,,,,
Player,PR1_D4,,Middle Center,這是超級賽亞外勤人員，我們不可以一概而論,,,,,
Player,PR2_D4,,Middle Center,對，有甚麼問題？,,,,,
Player,PR3_D4,,Middle Center,當然，畢竟牠們本身就是野生或者非本地繁殖,要是被放生到野外會破壞生態平衡的。,好了，請先給我看看你的文件吧,,,
Player,PR4_D4,,Middle Center,只是要運寵物，就只要動物健康牌照和特別許可證就行,商業要加一個動物售賣商牌照,另外瀕危動物1、2、3級都要瀕危動物進口許可證證明,懂嗎？,,
Player,PR5_D4,,Middle Center,首先，垃圾場這種太隱蔽的地方沒有人會專門去巡邏。,其次，正是因為不想再讓無辜市民受傷所以我們才加強關口申報,還有提倡舉報棄養行為,現在，能否請你給我看一下你的文件？,,
NPC,R0_D4_N1_E,Boss_ccexpress,Middle Center,這裏這裏，你們這真的越來越多人了,我明明已經由隔壁分流來這頭了，隊伍還那麼長,,,,
NPC,R1_D4_N1,Boss_ccexpress,Middle Center,哎喲！,,,,
NPC,R0_D4_N2_E,Boss_ccexpress,Middle Center,唉？,我以為這的工作人員都是像剛剛走過的抓蛇猛男一樣的？,,,,
NPC,R1_D4_N2,Boss_ccexpress,Middle Center,有點失望的說......,,,,,
NPC,R0_D4_N3_E,Boss_ccexpress,Middle Center,emmm...,你們這部門叫Exotic Transaction Monitor吧？,,,,
NPC,R1_D4_N3,Boss_ccexpress,Middle Center,但有些Exotic動物現在也是本土動物之一，這要有申報嗎？,,,,,
NPC,R0_D4_N4_E,Boss_ccexpress,Middle Center,喔，其實要那些文件？我怕弄錯,,,,,
NPC,R1_D4_N4,Boss_ccexpress,Middle Center,Oh，懂懂,,,,,
NPC,R0_D4_N5,Boss_ccexpress,Middle Center,這裏。,,,,,
NPC,R0_D4_N6_E,Boss_ccexpress,Middle Center,今天報道那小孩真慘，你們ETM到底干甚麼活的？,這麼大的龜也没發現,,,,
NPC,R1_D4_N6,Boss_ccexpress,Middle Center,哼！,,,,,
NPC,A0_D4_N1,Boss_ccexpress,Middle Center,……我現在知道為何你這裏最少人了,,,,,
NPC,A0_D4_N2,Boss_ccexpress,Middle Center,你說你還要做多久？,我可以去逛逛再回來嗎？,,,,
NPC,A0_D4_N3,Boss_ccexpress,Middle Center,小哥，放我一馬吧？,你隨便印一張準許證也行呀!,,,,
NPC,A0_D4_N4,Boss_ccexpress,Middle Center,兄弟？要是太麻煩我改天再來吧？,,,,,
NPC,A0_D4_N5,Boss_ccexpress,Middle Center,……你檢査好了沒？,,,,,
NPC,A0_D4_N6,Boss_ccexpress,Middle Center,有些人嘴上說得堂皇冠冕,"手上卻做得比王八慢",,,,
