Speaker Name,Dialogue ID,NPC,Position,Messages,Messages 1,Messages 2,Messages 3,Messages 4,Messages 5
Player,PR0_D6,,Middle Center,關口這通常也是輪班不休息的。,麻煩請你給一下文件,,,,
Player,PR1_D6,,Middle Center,我們會跟進的，麻煩先出示一下文件,,,,,
Player,PR2_D6,,Middle Center,對，但本身已經在當寵物或是為保育養的有正規文件都可申請入境,手續通常比平常多,不過現在麻煩給我看下你的文件,,,
Player,PR3_D6,,Middle Center,放心，牠們只是在臨時寄存所進行監控,我們這有保育員在定期餵食的,,,,
Player,PR4_D6,,Middle Center,這位申請人？ 麻煩出示一下文件,,,,,
NPC,R0_D6_N1_E,Npc1,Middle Center,WOW,沒想到現在週末政府機關仍未放假,那你們通常在這邊多少人？現在周末就你一個？,這麼多人會不會很忙？,,
NPC,R1_D6_N1,Npc1,Middle Center,OK, no problem,,,,,
NPC,R0_D6_N2_E,Npc2,Middle Center,嘶......,不是我說啊，之前有個申請人是不是有點奇奇怪怪的？,就是在東逛西逛、問很多問題那種,雖然聽上去很正常，但他總是逮人就問同樣的問題,行為真可疑,
NPC,R1_D6_N2,Npc2,Middle Center,好的,,,,,
NPC,R0_D6_N3_E,Npc3,Middle Center,唉！那個來自星星的哈利路特到現在也很有人氣,寄存那邊已經見到十隻貓頭鷹了!,話說，香城不是不讓養貓頭鷹嗎？,,,
NPC,R0_D6_N4_E,Npc4,Middle Center,好，我想問下，我寄存的動物都會放哪？,牠們不會餓死吧？,,,,
NPC,R1_D6_N4,Npc4,Middle Center,那就好,,,,,
NPC,R0_D6_N5_E,Npc2,Middle Center,（小聲）都不知道上頭要我來給新人測試甚麼......,,,,,
NPC,R1_D6_N5,Npc2,Middle Center,啊？,喔喔，要文件，我找找,找到了,,,
NPC,A0_D6_N1,Npc1,Middle Center,嗯～看你的樣子是菜鳥吧？,這麼多工作量，壓力也要爆了吧？,,,,
NPC,A0_D6_N2,Npc2,Middle Center,就個印章而已，摁摁就行啦......,你弄好了沒？,,,,
NPC,A0_D6_N3,Npc3,Middle Center,現在都幾點了？這麼晚了？,我知道弄文件很久，但我記得ETM也就弄個準許證。,現在我真的成要貓頭鷹了！,,,
NPC,A0_D6_N4,Npc4,Middle Center,你這麼慢，那些動物大概也要在那個臨時寄存所呆上一個月了,手腳快點！,,,,
NPC,A0_D6_N5,Npc2,Middle Center,你部門訓練是沒訓練你看文件嗎？,應該有個指南給你順着檢查一遍呀？,,,,
