Speaker Name,Dialogue ID,NPC,Position,Messages,Messages 1,Messages 2,Messages 3,Messages 4,Messages 5
Player,PR0_D3,,Middle Center,怎麼了？,,,,,
Player,PR1_D3,,Middle Center,......,請問？,,,,
Player,PR2_D3,,Middle Center,請出示文件,,,,,
Player,PR3_D3,,Middle Center,我也覺得，走私行為不可取。,不過，先回到正題,請你出示一下申請表,,,
Player,PR4_D3,,Middle Center,嗯,,,,,
NPC,R0_D3_N1_E,Npc2,Middle Center,哎喲唷......,,,,,
NPC,R1_D3_N1,Npc2,Middle Center,剛去南方公園被一大群鸚鵡揍了一遍，嘶，別說了，你快點看完文件我快點走,,,,,
NPC,R0_D3_N2,Npc1,Middle Center,不好意思，等一下。,(聽電話)喔，好，好,我弄好審查就回來打報表,咳,不好意思，這是我的文件。,
NPC,R0_D3_N3_E,Npc4,Middle Center,喔喔，我找找。,,,,,
NPC,R1_D3_N3,Npc4,Middle Center,找到了！,你慢慢，我不急,,,,
NPC,R0_D3_N4_E,Npc2,Middle Center,嘩，你有看昨天新聞嗎？,那些走私犯把幾隻鸚鵡塞進一個薯片罐裏,看得我都犯噁心了,,,
NPC,R1_D3_N4,Npc2,Middle Center,喔喔。,,,
NPC,R0_D3_N5_E,Npc3,Middle Center,好的。,小伙好生面孔，新人？,,,,
NPC,R1_D3_N5,Npc3,Middle Center,好吧，感覺你是不愛說話的類型,,,,,
NPC,A0_D3_N1,Npc2,Middle Center,哎喲，你能不能快點,我屁股需要立即就醫！,,,,
NPC,A0_D3_N2,Npc1,Middle Center,咳，可以快一點嗎？,我今天應酬完還要加班。,,,,
NPC,A0_D3_N4,Npc2,Middle Center,小伙，你批完沒？,,,,,
NPC,A0_D3_N5,Npc3,Middle Center,小伙,你不如叫其他前輩弄吧？感覺你不太行啊,,,,
