Speaker Name,Dialogue ID,NPC,Position,Messages,Messages 1,Messages 2,Messages 3,Messages 4,Messages 5
Player,PR0_D7,,Middle Center,......算是吧？,,,,,
Player,PR1_D7,,Middle Center,"PL 是 Personal Law enforcement
",而CL是Animals bred in captivity Law enforcement，你可以去Rites官網看一下,好了，請出示文件,,,
Player,PR2_D7,,Middle Center,畢竟是繁殖力很高的外來入侵物種。,牠事實上是巴西龜，因為生存能力强，甚麼都吃,所以來到香城周圍都有,麻煩給我一下你的文件,,
Player,PR3_D7,,Middle Center,嗯，請出示文件,,,,,
Player,PR4_D7,,Middle Center,嗯，下一位...,,,,,
Player,PR5_D7,,Middle Center,我不介意,麻煩給我你的文件,,,,
NPC,R0_D7_N1_E,Boss_ccexpress,Middle Center,唉...你是ETM的專業人員吧？,,,,,
NPC,R1_D7_N1,Boss_ccexpress,Middle Center,我上次被上司罵瀕危動物管有許可證申請時PL和CL都分不清，叫我去再申請。,之後申請到了，以為這事就掀過去了,結果他又考我PL和CL意思,我說了plural license 和combo license ，然後又被罵了,究竟為甚麼？,
NPC,R0_D7_N2_E,Boss_ccexpress,Middle Center,嘩，你有看昨天新聞嗎？,那些紅耳龜密密麻麻的在乾涸的湖裏面，害我密集恐懼都發作了！,,,,
NPC,R1_D7_N2,Boss_ccexpress,Middle Center,來拿去。,"嗯？紅耳龜是入侵物種？但我們小時候到處都是呀？
",難怪報導說湖裏本來的魚都死光了,嘶，香城對放生的監管真不夠,,
NPC,R0_D7_N3,Boss_ccexpress,Middle Center,好,,,,,
NPC,R0_D7_N4_E,Boss_ccexpress,Middle Center,好,我說年輕人就是要及時行樂，少看一兩份文件也沒關係,反正也是印個章的事,,,
NPC,R1_D7_N4,Boss_ccexpress,Middle Center,啊？,喔喔，要文件，我找找,找到了,,,
NPC,R0_D7_N5_E,Boss_ccexpress,Middle Center,hey,你可以給我準許證了,我這麼好看你不是該直接──,,,
NPC,R1_D7_N5,Boss_ccexpress,Middle Center,別別別！給你給你,,,,,
NPC,R0_D7_N6_E,Boss_ccexpress,Middle Center,你太可怜了!這麼久還在工作？,,,,,
NPC,R1_D7_N6,Boss_ccexpress,Middle Center,好,我說年輕人就是要及時行樂,少看一兩份文件也沒關係，反正也是印個章的事,,,
NPC,A0_D7_N1,Boss_ccexpress,Middle Center,哎喲，你看得太認真了,你應該學習我上班偷懶的樣子,只明面上做一做，蓋印就完事了,,,
NPC,A0_D7_N2,Boss_ccexpress,Middle Center,你可以快點嗎？,現在恐龍都絕種了，你還没回來22世紀,,,,
NPC,A0_D7_N3,Boss_ccexpress,Middle Center,喂！小子你是不是對我有意見！,哪有批得那麼慢的！我要向你上司投訴你！,,,,
NPC,A0_D7_N4,Boss_ccexpress,Middle Center,你弄好没？,,,,,
NPC,A0_D7_N5,Boss_ccexpress,Middle Center,說真，你是不是想看我好看的臉才那麼慢？,,,,,
NPC,A0_D7_N6,Boss_ccexpress,Middle Center,不就蓋個章的小事兒，沒必要那麼嚴謹啦！,你快點！,,,,
