AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
EBa,海南,廣西,C2,非商業繁殖,非商業繁殖,ATL00144,ATL00254,2022/10/3,2022/10/4,,禾花雀,黃胸鵐,2,,"顏色:致褐色, 身長:15厘米, 布滿白斑紋","顏色:致褐色, 身長:15厘米, ，腹透出淡淡的黃色",I_Stamp_5,
EBb,海南,廣西,C3,寵物,, , , , ,,禾花雀,黃胸鵐,1,,"顏色:致褐色, 身長:15厘米, 布滿白斑紋","顏色:致褐色, 身長:15厘米, ，腹透出淡淡的黃色",I_Stamp_5,
EBaF,海南,廣西,C2,繁殖,非商業繁殖,ATL00144,ATL00254,2022/10/3,2022/10/4,,禾花雀,黃胸鵐,2,,"顏色:致褐色, 身長:15厘米, 布滿白斑紋","顏色:致褐色, 身長:15厘米, ，腹透出淡淡的黃色",I_Stamp_5,
EBbF,海南,廣西,C3,寵物,, , , , ,,禾花雀,黃胸鵐,1,,"顏色:致褐色, 身長:15厘米, 布滿白斑紋","顏色:致褐色, 身長:15厘米, ，腹透出淡淡的黃色",I_Stamp_5,
DAa,馬達加斯加,,C2,販售,繁殖,ATL00418,ATL00428,2022/10/5,2022/10/4,,蕃茄蛙,,12,,顏色:鮮紅黑帶。身長6.5厘米，下腹是白色的,顏色:鮮紅黑帶。身長6.5厘米，虹膜是金色,I_Stamp_5,
DAb,馬達加斯加,,C1,寵物,, , , , ,,蕃茄蛙,,2,1,顏色:鮮紅黑帶。身長6.5厘米，下腹是白色的,顏色:鮮紅黑帶。身長6.5厘米，虹膜是金色,I_Stamp_5,
DAaF,馬達加斯加,,C2,販售,繁殖,ATL00245,ATL00355,2023/3/4,2023/3/5,,蕃茄蛙,,5,6,顏色:鮮紅黑帶。身長6.5厘米，下腹是白色的,顏色:鮮紅黑帶。身長6.5厘米，虹膜是金色,I_Stamp_5,
DAbF,馬達加斯加,,C1,寵物,, , , , ,,蕃茄蛙,,1,1,顏色:鮮紅黑帶。身長6.5厘米，下腹是白色的,顏色:鮮紅黑帶。身長6.5厘米，虹膜是金色,I_Stamp_5,
LNa,印尼,,C2,販售,繁殖,ATL00456,ATL00130,2023/3/1,2023/3/2,,爪哇禾雀,,4,5,顏色:頭黑體灰。身長:16厘米，臉頰白色斑塊,顏色:頭黑體灰。身長:16厘米，腹部粉紅,I_Stamp_5,
LNb,印尼,,C2,寵物,, , , , ,,爪哇禾雀,,2,1,顏色:頭黑體灰。身長:16厘米，臉頰白色斑塊,顏色:頭黑體灰。身長:16厘米，腹部粉紅,I_Stamp_5,
