AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
HHa,香城,,C3,販售,繁殖,ATL00237,ATL00247,2022/10/3,2022/10/4,香港半葉趾虎,,10,6,"顏色:有橙色花紋, 身長:8厘米, 有深色及淺色橫間。","顏色:有橙色花紋, 身長:8厘米, 第一隻手指無爪。",I_Stamp_1,
HHb,香城,,C3,寵物,, , , , ,香港半葉趾虎,,1,1,"顏色:有橙色花紋, 身長:8厘米, 有深色及淺色橫間。","顏色:有橙色花紋, 身長:8厘米, 第一隻手指無爪。",I_Stamp_1,
HHaF,香城,,C3,販售,繁殖,ATL00237,ATL00247,2022/10/9,2022/10/10,香港半葉趾虎,,10,6,"顏色:有橙色花紋, 身長:8厘米, 有深色及淺色橫間。","顏色:有橙色花紋, 身長:8厘米, 第一隻手指無爪。",I_Stamp_1,
HHbF,香城,,C3,寵物,, , , ,2022/9/20,香港半葉趾虎,,1,5,"顏色:有橙色花紋, 身長:8厘米, 有深色及淺色橫間。","顏色:有橙色花紋, 身長:8厘米, 第一隻手指無爪。",I_Stamp_1,
DBa,香城,,C3,販售,繁殖,ATL00418,ATL00428,2022/10/5,2022/10/4,鮑氏雙足蜥,,5,6,顏色:光澤的粉紫色。身長:8厘米，形似蚯蚓。,顏色:光澤的粉紫色。身長:8厘米，有對退化的鰭足。,I_Stamp_1,
DBb,加州,,C1,寵物,, , , , ,鮑氏雙足蜥,,1,1,顏色:光澤的粉紫色。身長:8厘米，形似蚯蚓。,顏色:光澤的粉紫色。身長:8厘米，有對退化的鰭足。,I_Stamp_1,
DBaF,香城,,C3,販售,繁殖,ATL00418,ATL00428,2022/10/5,2022/10/4,鮑氏雙足蜥,,5,6,顏色:光澤的粉紫色。身長:8厘米，形似蚯蚓。,顏色:光澤的粉紫色。身長:8厘米，有對退化的鰭足。,I_Stamp_1,
DBbF,加州,,C1,寵物,, , , , ,鮑氏雙足蜥,,1,1,顏色:光澤的粉紫色。身長:8厘米，形似蚯蚓。,顏色:光澤的粉紫色。身長:8厘米，有對退化的鰭足。,I_Stamp_1,
XHa,哥倫比亞,印度,C2,販售,繁殖,ATL00379,ATL00389,2022/9/15,2022/9/16,紅箭魚,,20,,顏色:火紅色。身長:7厘米，尾巴呈劍形生長。,顏色:火紅色。身長:8厘米，雌性有圓形尾。,I_Stamp_1,
XHb,哥倫比亞,印度,C1,寵物,, , , , ,紅箭魚,,10,3,顏色:火紅色。身長:7厘米，尾巴呈劍形生長。,顏色:火紅色。身長:8厘米，尾巴呈劍形生長。,I_Stamp_1,
XHaF,哥倫比亞,印度,,販售,繁殖,ATL00379,ATL00389,2022/9/15,2022/9/16,紅箭魚,,20,,顏色:火紅色。身長:7厘米，尾巴呈劍形生長。,顏色:火紅色。身長:8厘米，尾巴呈劍形生長。,I_Stamp_1,
XHbF,哥倫比亞,印度,C1,寵物,, , , , ,紅箭魚,,10,3,顏色:火紅色。身長:70厘米，尾巴呈劍形生長。,顏色:火紅色。身長:80厘米，尾巴呈劍形生長。,I_Stamp_1,
EMa,巴斯斯坦,,C2,販售,繁殖,ATL00110,ATL00111,2022/10/2,2022/10/3,豹紋守宮,,15,10,顏色:亮黃色帶和黑點條紋。身長:25厘米，尾巴較肥大。,顏色:亮黃色帶和黑點條紋。身長:25厘米，沒腳趾墊。,I_Stamp_1,
EMb,巴斯斯坦,,C1,寵物,, , , , ,豹紋守宮,,2,2,顏色:亮黃色帶和黑點條紋。身長:25厘米，尾巴較肥大。,顏色:亮黃色帶和黑點條紋。身長:25厘米，沒腳趾墊。,I_Stamp_1,
EMaF,巴斯斯坦,,C2,販售,繁殖,AAL00110,ATL00111,2022/10/2,2022/10/3,豹紋守宮,,15,10,顏色:亮黃色帶和黑點條紋。身長:25厘米，尾巴較肥大。,顏色:亮黃色帶和黑點條紋。身長:25厘米，沒腳趾墊。,I_Stamp_1,
EMbF,巴斯斯坦,,C1,寵物,, , , , ,豹紋守宮,,2,,顏色:亮黃色帶和黑點條紋。身長:25厘米，尾巴較肥大。,顏色:亮黃色帶和黑點條紋。身長:25厘米，沒腳趾墊。,I_Stamp_1,
GCa,臺灣,,C1,販售,繁殖,ATL00120,ATL00130,2022/10/9,2022/10/10,畫眉鳥,,10,,顏色:薑褐色。身長:22厘米，白色眼圈眼後延長。,顏色:薑褐色。身長:22厘米，白色眉紋。,I_Stamp_1,
GCb,臺灣,,C2,寵物,, , , , ,畫眉鳥,,1,,顏色:薑褐色。身長:22厘米，白色眼圈眼後延長。,顏色:薑褐色。身長:22厘米，白色眉紋。,I_Stamp_1,
GCaF,臺灣,,C1,販售,繁殖,ATL00120,ATL00130,2022/10/9,2022/10/10,畫眉鳥,,10,,顏色:薑褐色。身長:22厘米，白色眼圈眼後延長。,顏色:薑褐色。身長:22厘米，白色眉紋。,I_Stamp_1,
GCbF,臺灣,,C2,寵物,,ATL00104, , , ,畫眉鳥,,1,,顏色:薑褐色。身長:22厘米，白色眼圈眼後延長。,顏色:薑褐色。身長:22厘米，白色眉紋。,I_Stamp_1,
SAa,英國,,C1,販售,繁殖,ATL00134,ATL00131,2022/10/5,2022/10/6,灰林鴞 ,,2,,顏色:褐色。身長37厘米，腹部有條紋。,顏色:褐色。身長40厘米，胸具細密條紋和蟲蠹狀斑。,I_Stamp_1,
SAb,英國,,C1,寵物,, , , , ,灰林鴞 ,,1,,顏色:褐色。身長37厘米，腹部有條紋。,顏色:褐色。身長40厘米，胸具細密條紋和蟲蠹狀斑。,I_Stamp_1,
SAaF,英國,,C1,販售,繁殖,ATL00134,ATL00131,2022/10/5,2022/10/6,灰林鴞 ,,2,,顏色:褐色。身長37厘米，腹部有條紋。,顏色:褐色。身長40厘米，胸具細密條紋和蟲蠹狀斑。,I_Stamp_1,
SAbF,英國,,C1,寵物,, , , , ,灰林鴞 ,,1,,顏色: 背部花褐和淺黃色。身長15厘米，黑褐色干羽較細。,顏色: 背部花褐和淺黃色。身長20厘米，眉紋棕白色。,I_Stamp_1,
ALa,奧地利,,C2,販售,繁殖,ATL00122,ATL00123,2022/10/4,2022/10/5,歐亞雲雀,告天鳥,6,,顏色: 背部花褐和淺黃色。身長15厘米，黑褐色干羽較細。,顏色: 背部花褐和淺黃色。身長20厘米，眉紋棕白色。,I_Stamp_1,
ALb,奧地利,,C1,寵物,, , , , ,歐亞雲雀,告天鳥,1,,顏色: 背部花褐和淺黃色。身長15厘米，黑褐色干羽較細。,顏色: 背部花褐和淺黃色。身長20厘米，眉紋棕白色。,I_Stamp_1,
ALaF,奧地利,,C2,販售,繁殖,ATL00122,ATL00123,2022/10/4,2022/10/5,告天鳥,歐亞雲雀,6,,顏色: 背部花褐和淺黃色。身長15厘米，黑褐色干羽較細。,顏色: 背部花褐和淺黃色。身長20厘米，眉紋棕白色。,I_Stamp_1,
ALbF,奧地利,,C1,寵物,, , , , ,告天鳥,歐亞雲雀,1,,顏色: 背部花褐和淺黃色。身長15厘米，黑褐色干羽較細。,顏色: 背部花褐和淺黃色。身長20厘米，眉紋棕白色。,I_Stamp_1,
