AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
BTa,浙江,,C3,販售,販售,ATL00295,ATL00216,2022/10/1,2022/10/2,,黃唇魚,,6,9,"顏色:背灰白腹橙黃色, 身長:150厘米，尾鰭灰黑色","顏色:背灰白腹橙黃色, 身長:150厘米，腹臀鰭淺色。",I_Stamp_5,
BTb,浙江,,C2,寵物,, , , , ,,黃唇魚,,1,,"顏色:背灰白腹橙黃色, 身長:150厘米，尾鰭灰黑色","顏色:背灰白腹橙黃色, 身長:150厘米，腹臀鰭淺色。",I_Stamp_5,
BTaF,浙江,,C3,販售,販售,ATL00295,ATL00216,2022/10/1,2022/10/2,,黃唇魚,,6,9,"顏色:背灰白腹橙黃色, 身長:150厘米，尾鰭灰黑色","顏色:背灰白腹橙黃色, 身長:150厘米，腹臀鰭淺色。",I_Stamp_5,
BTbF,浙江,,C2,寵物,, , , , ,,黃唇魚,,1,,"顏色:背灰白腹橙黃色, 身長:150厘米，尾鰭灰黑色","顏色:背灰白腹橙黃色, 身長:150厘米，腹臀鰭淺色。",I_Stamp_5,I_Stamp_6
GCa,海南島,,C2,販售,繁殖,ATL00120,ATL00337,2022/10/9,2022/10/10,,畫眉鳥,,10,,顏色:薑褐色。身長22厘米，下白色眼圈延長形成眉紋,顏色:薑褐色。身長22厘米，下白色眼圈延長形成眉紋,I_Stamp_5,
GCb,海南島,,C1,繁殖,寵物, , , , ,,畫眉鳥,,1,,顏色:薑褐色。身長22厘米，下白色眼圈延長形成眉紋,顏色:薑褐色。身長22厘米，下白色眼圈延長形成眉紋,I_Stamp_5,
GCaF,海南島,,C2,販售,繁殖,ATL00120,ATL00337,2022/10/9,2022/10/10,,畫眉鳥,,10,,顏色:灰色。身長22厘米，下白色眼圈延長形成眉紋,顏色:薑褐色。身長22厘米，下白色眼圈延長形成眉紋,I_Stamp_5,
GCbF,海南島,馬里,C1,寵物,, , , , ,,畫眉鳥,,1,,顏色:薑褐色。身長22厘米，下白色眼圈延長形成眉紋,顏色:薑褐色。身長22厘米，下白色眼圈延長形成眉紋,I_Stamp_5,
BJa,西伯利亞,,C1,販售,繁殖,ATL00203,ATL00322,2022/10/2,2022/10/3,,小太平鳥,,7,4,顏色:栗色漸淺。身長:16厘米，具細長羽冠，眼有黑色細紋帶,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,
BJb,西伯利亞,,C1,寵物,, , , , ,,小太平鳥,,2,1,顏色:栗色漸淺。身長:16厘米，具細長羽冠，眼有黑色細紋帶,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,
BJaF,西伯利亞,,C1,販售,繁殖,ATL00203,ATL00322,2022/10/2,2022/10/3,,小太平鳥,,7,4,顏色:栗色漸淺。身長:16厘米，具細長羽冠，眼有黑色細紋帶,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,
BJbF,西伯利亞,,C1,寵物,, , , , ,,小太平鳥,,2,8,顏色:栗色漸淺。身長:16厘米，具細長羽冠，眼有黑色細紋帶,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,I_Stamp_6
PYa,烏干達,,C2,販售,繁殖,ATL00400,ATL00401,2022/10/20,2022/10/21,,球蟒,,5,,顏色:太妃糖棕。身長:100厘米，背部有許多圓形斑紋,顏色:太妃糖棕。身長:100厘米，受攻擊時會捲成球狀,I_Stamp_5,
PYb,烏干達,,C2,寵物,, , , , ,,球蟒,,1,,顏色:太妃糖棕。身長:100厘米，背部有許多圓形斑紋,顏色:太妃糖棕。身長:100厘米，受攻擊時會捲成球狀,I_Stamp_5,
PYaF,烏干達,,C2,販售,繁殖,ATL00400,ATL00401,2022/10/20,2022/10/21,,球蟒,,5,,顏色:太妃糖棕。身長:100厘米，背部有許多圓形斑紋,顏色:太妃糖棕。身長:100厘米，受攻擊時會捲成球狀,I_Stamp_5,
PYbF,烏干達,,C2,寵物,, , , , ,,球蟒,,1,,顏色:太妃糖棕。身長:100厘米，背部有許多圓形斑紋,顏色:太妃糖棕。身長:100厘米，受攻擊時會捲成球狀,I_Stamp_5,
CTa,香城,,C3,販售,販售,ATL00408,ATL00409,2022/12/31,2023/1/1,,金錢龜,,30,,顏色:背甲紅棕色。身長:30厘米，有3條黑色縱紋，底板全黑色,顏色:背甲紅棕色。身長:20厘米，頭較黃，頭頂光滑無鱗,I_Stamp_5,
CTb,香城,,C3,寵物,, , , , ,,金錢龜,,1,2,顏色:背甲紅棕色。身長:30厘米，有3條黑色縱紋，底板全黑色,顏色:背甲紅棕色。身長:20厘米，頭較黃，頭頂光滑無鱗,I_Stamp_5,
