AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
MTa,美國,,C1,繁殖,繁殖,ATL00242,ATL00672,2023/7/12,2022/11/13,,鱷龜,,10,,"顏色:黑色, 身長:40厘米，頭頸肉突，龜殼有三行棘","顏色:黑色, 身長:40厘米，甲峰很明顯，頭有尖頜似鷹嘴狀",I_Stamp_5,
MTb,美國,,C2,寵物,, , , , ,,鱷龜,,1,,"顏色:黑色, 身長:40厘米，頭頸肉突，龜殼有三行棘","顏色:黑色, 身長:40厘米，甲峰很明顯，頭有尖頜似鷹嘴狀",I_Stamp_5,
MTaF,美國,,C1,繁殖,繁殖,ATL00242,ATL00672,2023/7/12,2022/11/13,,鱷龜,,10,,"顏色:黑色, 身長:40厘米，頭頸肉突，龜殼有三行棘","顏色:黑色, 身長:40厘米，甲峰很明顯，頭有尖頜似鷹嘴狀",I_Stamp_5,
MTbF,美國,,none,寵物,, , , , ,,鱷龜,擬鱷龜,1,,"顏色:黑色, 身長:40厘米，頭頸肉突，龜殼有三行棘","顏色:黑色, 身長:58厘米，甲峰很明顯，頭有尖頜似鷹嘴狀",I_Stamp_5,
OLa,孟加拉,,C2,販售,繁殖,ATL00611,ATL00681,2022/11/12,2022/11/13,,領角鴞,,3,4,顏色:灰褐帶黑色斑紋。身長:23厘米，角狀耳羽較短,顏色:灰褐帶黑色斑紋。身長:25厘米，夾雜褐色蟲蠧斑及黑縱,I_Stamp_5,
OLb,孟加拉,,C3,寵物,, , , , ,,領角鴞,,1,,顏色:灰褐帶黑色斑紋。身長:23厘米，角狀耳羽較短,顏色:灰褐帶黑色斑紋。身長:25厘米，夾雜褐色蟲蠧斑及黑縱,I_Stamp_5,
OLaF,孟買,孟加拉,C2,販售,繁殖,ATL00611,ATL00681,2022/11/12,2022/11/13,,領角鴞,,3,4,顏色:灰褐帶黑色斑紋。身長:23厘米，角狀耳羽較短,顏色:灰褐帶黑色斑紋。身長:25厘米，夾雜褐色蟲蠧斑及黑縱,I_Stamp_5,
OLbF,孟加拉,,C3,寵物,, , , , ,,領角鴞,,1,,顏色:灰褐帶黑色斑紋。身長:23厘米，角狀耳羽較短,顏色:灰褐帶黑色斑紋。身長:25厘米，夾雜褐色蟲蠧斑及黑縱,I_Stamp_5,
CUa,印度,,C1,販售,繁殖,ATL00328,ATL00682,2023/3/10,2022/11/13,,蘇眉,,5,4,顏色:黃綠體頭頸墨綠。身長:200厘米，眼間明顯隆起,顏色:黑橙花纹。身長:15厘米，後半部具深色波狀橫紋,I_Stamp_5,
CUb,印度,,C1,寵物,, , , , ,,蘇眉,,1,,顏色:黃綠體頭頸墨綠。身長:200厘米，眼間明顯隆起,顏色:黑橙花纹。身長:15厘米，後半部具深色波狀橫紋,I_Stamp_5,
