AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
BKa,墨西哥,,C1,販售,繁殖,ATL0742,ATL0751,2022/11/20,2022/11/14,,墨西哥粉紅捕鳥蛛,,7,8,顏色:特殊鏽紅色。身長:16厘米，有着顯眼的粉橘色的步足,顏色:特殊鏽紅色。身長:16厘米，有着顯眼的粉橘色的步足,I_Stamp_5,
BKb,墨西哥,,C2,寵物,, , , , ,,墨西哥粉紅捕鳥蛛,,1,2,顏色:特殊鏽紅色。身長:16厘米，有着顯眼的粉橘色的步足,顏色:特殊鏽紅色。身長:16厘米，有着顯眼的粉橘色的步足,I_Stamp_5,
BKaF,墨西哥,,C1,販售,繁殖,ATL0742,ATL0751,44885,44879,,墨西哥粉紅捕鳥蛛,巨人捕鳥蛛,7,8,顏色:特殊鏽紅色。身長:16厘米，有着顯眼的粉橘色的步足,顏色:特殊鏽紅色。身長:16厘米，有着顯眼的粉橘色的步足,I_Stamp_5,
BKbF,墨西哥,,C2,寵物,, , , , ,,墨西哥粉紅捕鳥蛛,,1,2,顏色:特殊寶藍色。身長:16厘米，有着顯眼的閃藍色的步足,顏色:特殊鏽紅色。身長:16厘米，有着顯眼的粉橘色的步足,I_Stamp_5,I_Stamp_7
PBa,柬埔寨,,C2,繁殖,販售,ATL00281,ATL00743,2022/11/12,2022/11/13,,緬甸蟒,,7,6,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形粗胖，頭較大軀體小,I_Stamp_5,
PBb,柬埔寨,,C3,寵物,, , , , ,,緬甸蟒,,1,,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形粗胖，頭較大軀體小,I_Stamp_5,
PBaF,柬埔寨,,C2,繁殖,寵物,ATL00281,ATL00743,2022/11/12,2022/11/13,,緬甸蟒,,7,6,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形粗胖，頭較大軀體小,I_Stamp_5,
PBbF,柬埔寨,,C3,寵物,, , , , ,,緬甸蟒,,1,,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形細小，頭較小軀體大,I_Stamp_5,
AOa,瓜地馬拉,,C1,非商業繁殖,非商業繁殖,ATL00681,ATL00802,2022/11/13,2022/10/31,,黃頭亞馬遜鸚鵡,,4,,顏色:鮮綠色。身長:35厘米，頭黃色，雙翼彎曲處呈紅色,顏色:鮮綠色。身長:38厘米，頭黃色，雙翼彎曲處呈紅色,I_Stamp_5,
AOb,瓜地馬拉,,C2,寵物,, , , , ,,黃頭亞馬遜鸚鵡,,1,,顏色:鮮綠色。身長:35厘米，頭黃色，雙翼彎曲處呈紅色,顏色:鮮綠色。身長:38厘米，頭黃色，雙翼彎曲處呈紅色,I_Stamp_5,
AOaF,瓜地馬拉,,C1,非商業繁殖,販售,ATL006ON,ATL00802,2022/11/13,2022/10/31,,黃頭亞馬遜鸚鵡,,4,,顏色:鮮綠色。身長:35厘米，頭黃色，雙翼彎曲處呈紅色,顏色:鮮綠色。身長:38厘米，頭黃色，雙翼彎曲處呈紅色,I_Stamp_5,
AObF,瓜地馬拉,,C2,寵物,, , , , ,,黃頭亞馬遜鸚鵡,,1,,顏色:鮮綠色。身長:35厘米，頭黃色，雙翼彎曲處呈紅色,顏色:鮮色。身長:35厘米，頭紅色，雙翼彎曲處呈藍色,I_Stamp_5,
