AnimalID,Business Name,Business Name 2,Business Number,Business Number 2,Line 1,Line 2,Line 3,Line 4,Line 5,Line 6,Stamp And Sign,Stamp And Sign 2
BTa,鮮魚有限公司,陸記魚檔,35894135,67803086,C3,C5,,T5,Yes,Yes,I_Stamp_1,
BTaF,none,陸記魚檔,35894135,67803086,C3,C5,,T5,Yes,Yes,I_Stamp_1,
GCa,爪爪屋,小飛鳥,70528471,18349491,C1,C4,,,Yes,Yes,I_Stamp_1,
GCaF,爪爪屋,小飛鳥,70528471,18349491,C1,C4,,,Yes,Yes,I_Stamp_1,
BJa,羽毛之友,天際,52362473,39432134,C1,C4,,,Yes,Yes,I_Stamp_1,
BJaF,羽毛之友,天際,52362473,39432134,C1,none,,,Yes,Yes,I_Stamp_1,
PYa,Snakey,輕羽,19390348,17823040,C2,C4,T2,,Yes,Yes,I_Stamp_1,
PYaF,Snakey,輕羽,19390348,17823040,C2,C4,T2,,Yes,Yes,I_Stamp_1,
CTa,龜年糕,何生中藥,2974248,2384531,C2,C5,T3,,Yes,Yes,I_Stamp_1,
CTaF,龜年糕,何生中藥,2974248,2384531,C2,C5,T3,,Yes,Yes,I_Stamp_1,
PIa,幻燈魚,陳記魚舖,23378514,19935835,C3,C4,,T5,Yes,Yes,I_Stamp_1,
PIaF,幻燈魚,陳記魚舖,23378514,19935835,none,C4,,T5,Yes,Yes,I_Stamp_1,I_Stamp_2
XHa,魚花,多多魚,12432941,12432942,C3,C4,,T5,Yes,Yes,I_Stamp_1,
XHaF,魚花,多多魚,12432941,12432942,C3,C4,,none,Yes,Yes,I_Stamp_1,
FPa,特殊愛寵有限公司,傾城絕蜥,96697892,23329891,C2,C4,T1,,Yes,Yes,I_Stamp_1,
FPaF,特殊愛寵有限公司,傾城絕蜥,96697892,23329891,C2,C4,T1,,Yes,Yes,I_Stamp_1,I_Stamp_2
