AnimalID,Business Name,Business Name 2,Business Number,Business Number 2,Line 1,Line 2,Line 3,Line 4,Line 5,Line 6,Stamp And Sign,Stamp And Sign 2
MTa,特色爬爬,河童之戀,78945632,54931491,C2,C4,T3,,Yes,Yes,I_Stamp_1,
MTaF,特色爬爬,河童之戀,78945632,54931491,C2,C4,T3,,Yes,Yes,I_Stamp_1,
OLa,哈耳庇厄,飛廉風伯,10847290,76991390,C1,C4,,,Yes,Yes,I_Stamp_1,
OLaF,none,飛廉風伯,10847290,76991390,C1,C4,,,Yes,Yes,I_Stamp_1,
CUa,深海傳說,大魚海苔,37535938,35279265,C3,C4,,T5,Yes,Yes,I_Stamp_1,
CUaF,深海傳說,大魚海苔,37535938,35279265,C3,C4,,T5,Yes,Yes,I_Stamp_1,
CIa,愛寵之家,龍宮,12345671,68689852,C2,C4,T3,,Yes,Yes,I_Stamp_1,
CIaF,愛寵之家,龍宮,12345671,68689852,C2,C4,T3,,none,Yes,I_Stamp_1,
IIa,傾城絕蜥,恐龍的時代,23329891,28941932,C2,C4,T1,,Yes,Yes,I_Stamp_1,
IIaF,傾城絕蜥,恐龍的時代,23329891,28941932,C2,C5,T1,,none,Yes,I_Stamp_1,
ADa,濕地物語,水蛟出洞,19385738,51390096,C2,C4,T6,,Yes,Yes,I_Stamp_1,
ADaF,濕地物語,水蛟出洞,19385738,51390096,C2,C4,T6,,Yes,Yes,I_Stamp_1,
PBa,戈爾貢,蛇果,68226219,73838260,C2,C4,T2,,Yes,Yes,I_Stamp_1,
PBaF,戈爾貢,蛇果,68226219,73838260,C2,C4,T2,,Yes,Yes,I_Stamp_1,I_Stamp_3
PHa,彩虹魚,魚籽多多,59185841,29816481,C3,C4,,T5,Yes,Yes,I_Stamp_1,
PHaF,彩虹魚,魚籽多多,59185841,29816481,C3,C4,T2,T5,Yes,Yes,I_Stamp_1,
SAa,歸巢,鳥,58841694,45869184,C1,C4,,,Yes,Yes,I_Stamp_1,
SAaF,歸巢,鳥,58841694,45869184,C1,C4,,,Yes,Yes,I_Stamp_1,
RVa,香城保護區,驚奇動物園,52638112,46713803,C1,C4,,,Yes,Yes,I_Stamp_1,
RVaF,香城保護區,驚奇動物園,52638112,46713803,C1,C4,,,Yes,Yes,I_Stamp_1,
