AnimalID,Business Name,Business Name 2,Business Number,Business Number 2,Line 1,Line 2,Line 3,Line 4,Line 5,Line 6,Stamp And Sign,Stamp And Sign 2
EBa,雀鳥力量,你的翅膀,34467874,12240254,C1,C4,,,Yes,Yes,I_Stamp_1,
EBaF,雀鳥力量,你的翅膀,34467874,12240254,C1,C4,,,Yes,Yes,I_Stamp_1,
DAa,蛙蛙呱呱,大跳跳,12954235,13847535,C3,C4,,T6,Yes,Yes,I_Stamp_1,
DAa,蛙蛙呱呱,大跳跳,12954235,13847535,C2,C4,,T6,Yes,Yes,I_Stamp_1,
LNa,鳥群有限公司,東哥街舖,48204236,23654801,C1,C4,,,Yes,Yes,I_Stamp_1,
LNaF,鳥群有限公司,東哥街舖,48204236,23654801,C1,C4,,,Yes,Yes,I_Stamp_1,
MHa,東記觀賞魚,阿文魚,28185694,45284537,C3,C4,,T5,Yes,Yes,I_Stamp_1,
MHaF,東記觀賞魚,阿文魚,28185694,45284537,C3,C4,,T5,Yes,Yes,I_Stamp_1,
HPa,友誠中藥,深海傳說,51357398,37535938,C3,C5,,T5,Yes,Yes,I_Stamp_1,
HPaF,友誠中藥,深海傳說,51357398,37535938,none,C5,,T5,none,Yes,I_Stamp_1,
AMa,特殊愛寵有限公司,走獸,96697892,59430222,C3,C4,,T6,Yes,Yes,I_Stamp_1,
AMaF,特殊愛寵有限公司,走獸,96697892,59430222,C3,C4,,T6,Yes,Yes,I_Stamp_1,I_Stamp_2
AIa,魚仙,游魚樂,69430240,95370240,C3,C4,,T5,Yes,Yes,I_Stamp_1,
AIaF,魚仙,游魚樂,69430240,95370240,C3,C4,,T5,none,Yes,I_Stamp_1,
CHa,動物世界,徐氏龜屋,33336987,48428451,C2,C4,T3,,Yes,Yes,I_Stamp_1,
CHaF,動物世界,徐氏龜屋,33336987,48428451,C2,none,T3,,Yes,Yes,I_Stamp_1,
